,title,address,price,price_per_sqm,rooms,sqm
6699,Penthouse Barbu Vacarescu,"Strada Dambovicioara, Tei, Sectorul 2, Bucuresti",7800,42.16,5,185
8305,Penthouse | Laguna Residence |247 mp utili + 132mp terasa| Vedere Lac,"Intrarea Chefalului, Pipera, Sectorul 2, Bucuresti",9000,36.39,5,247.32
87,Rahmaninov Residence | Floreasca | 2 camere,"Aviatiei, Sectorul 1, Bucuresti",2700,34.18,2,79
246,Floreasca - One Rahmaninov | 2 Camere | Parcare | Terasa,"Floreasca, Sectorul 2, Bucuresti",2700,34.18,2,79
358,Apartament 2 camere Rahmaninov,"Strada Gradistea Florestilor, Floreasca, Sectorul 2, Bucuresti",2700,34.18,2,79
370,2 Camere | One Rahmaninov | Terasa | Parcare | Lux | Floreasca | Verdi,"Floreasca, Sectorul 2, Bucuresti",2700,34.18,2,79
388,2 Camere| One Rahmaninov Residence | Incalzire Pardoseala | Parcare,"Strada Biserica Floreasca, Floreasca, Sectorul 2, Bucuresti",2700,34.18,2,79
6109,Inchiriere apartament 3 camere I Floreasca I One Mircea Eliade,"Bulevardul Mircea Eliade, Floreasca, Sectorul 1, Bucuresti",2500,34.13,3,73.24
1686,5 Camere Expozitiei Domenii Luxuria 3 Locuri de Parcare LUX 155MP,"Sectorul 1, Bucuresti",4500,33.83,5,133
25,De Inchiriat | Penthouse/Apartament exclusivist 3 camere+terasa | Ultr,"Eminescu, Sectorul 2, Bucuresti",4000,33.33,3,120
6613,"Apartament 2 camere, 60mp, Calea Victoriei","Calea Victoriei, Piata Romana, Sectorul 1, Bucuresti",2000,33.33,2,60
7352,Calea Victoriei|Loc de parcare|Apartament cu 2 camere|10 min metrou|Bi,"Victoriei, Sectorul 1, Bucuresti",2000,33.33,2,60
6038,inchiriez garsoniera moderna in zona c. georgian la 3 minute de metrou,"Pantelimon, Sectorul 2, Bucuresti",1200,33.33,1,36
6111,2 bedrooms apartment for rent I One Mircea Eliade Residences,"Bulevardul Mircea Eliade, Floreasca, Sectorul 1, Bucuresti",2500,32.18,3,77.68
8234,3 Camere | One Rahmaninov | Terasa | Parcare | Lux | Floreasca | Verdi,"Floreasca, Sectorul 2, Bucuresti",3700,31.9,3,116
8692,Apartament modern cu 4 camere | garaj si terasa | mobilat,"Primaverii, Sectorul 1, Bucuresti",4400,31.43,4,140
6660,Apartament 3 camere One Mircea Eliade,"Calea Floreasca, Floreasca, Sectorul 1, Bucuresti",2500,30.12,3,83
4963,Garsoniera noua lux sos Nordului vedere directa parc,"Soseaua Nordului, Herastrau, Sectorul 1, Bucuresti",750,30,1,25
8400,"Oferta unica | Vedere panoramica | 5 camere, 4 bai | 350mpc","Primaverii, Sectorul 1, Bucuresti",6500,29.41,5,221
6248,"Apartament de 2 camere LUX, 55mp, centrala, parcare, Cartierul Francez","Strada Nicolae G. Caramfil, Herastrau, Sectorul 1, Bucuresti",1600,29.09,2,55
7698,2 camere / Herastrau / Centrala / Balcon / Parcare,"Soseaua Nordului, Herastrau, Sectorul 1, Bucuresti",1600,29.09,2,55
8472,"Apartament 3 camere, mobilat si utilat, primul chirias!","Aviatorilor, Sectorul 1, Bucuresti",2900,29,3,100
5485,Apartament deosebit de lux 2 camere I Soseaua Nordului I Herastrau,"Soseaua Nordului, Herastrau, Sectorul 1, Bucuresti",1450,29,2,50
3044,One Herastrau Towers | Fully Services Included| Exclusive,"Herastrau, Sectorul 1, Bucuresti",3500,28.93,3,121
7451,Apartament 3 camere Premium - One Rahmaninov,"Strada Gradistea Florestilor, Floreasca, Sectorul 2, Bucuresti",4500,28.85,3,156
8233,3 Camere | One Rahmaninov | Terasa | Parcare | Lux | Floreasca | Verdi,"Floreasca, Sectorul 2, Bucuresti",4500,28.85,3,156
2982,Inchiriere Apartament 4 camere I One Mircea Eliade I Floreasca,"Bulevardul Mircea Eliade, Floreasca, Sectorul 1, Bucuresti",3500,28.72,4,121.88
8691,Apartament cu 4 camere si vedere libera | garaj si terasa,"Floreasca, Sectorul 1, Bucuresti",3500,28.69,4,122
7550,Apartament spectaculos de lux 3 camere I Rahmaninov Residence,"Strada Gradistea Florestilor, Floreasca, Sectorul 2, Bucuresti",4500,28.57,3,157.5
6112,3 Bedrooms for Rent I One Herastrau Park,"Strada Ghetarilor, Aviatiei, Sectorul 1, Bucuresti",3500,28.52,4,122.74
6108,One Mircea Eliade I inchiriere apartament 4 camere I 2 locuri de parca,"Bulevardul Mircea Eliade, Floreasca, Sectorul 1, Bucuresti",3500,28.52,4,122.72
8690,Apartament cu 4 camere | vedere spre lac | 2 garaje,"Sectorul 1, Bucuresti",3500,28.46,4,123
8842,Inchiriere - Duplex - 3 Camere - Floreasca - Rahmaninov Residence,"Floreasca, Sectorul 2, Bucuresti",3500,28.27,3,123.8
5768,Apartament 3 camere | 230mp | 2/6 | Parcare | Herastrau,"Herastrau, Sectorul 1, Bucuresti",6500,28.26,3,230
8604,Apartament 3 camere | Herastrau | Aviatiei | Cartierul Francez,"Francez, Sectorul 1, Bucuresti",6500,28.26,3,230
7432,"Primaverii, 3 camere mobilat. Detine curte proprie","Primaverii, Sectorul 1, Bucuresti",2600,28.26,3,92
7464,Apartament 3 camere + gradina - Primaverii,"Strada Amiral Constantin Balescu, Primaverii, Sectorul 1, Bucuresti",2600,28.26,3,92
8587,Apartament PREMIUM | Duplex cu 3 camere si 3 bai | 160mpc,"Floreasca, Sectorul 2, Bucuresti",3500,28.23,3,124
7751,Apartament cu 3 camere langa parc si metrou | garaj si terasa,"Primaverii, Sectorul 1, Bucuresti",2500,28.09,3,89
7396,"One Mircea Eliade, one bedroom, first rent, parking, 1400Eur+TVA","Bulevardul Mircea Eliade, Primaverii, Sectorul 1, Bucuresti",1400,28,2,50
313,"Apartament 2 camere, 45 mp, Zona Verdi One","Calea Floreasca, Floreasca, Sectorul 1, Bucuresti",1250,27.78,2,45
796,Apartament 2 camere Verdi One,"Strada Barbu Vacarescu, Floreasca, Sectorul 2, Bucuresti",1250,27.78,2,45
7198,Apartament 4 camere - Primaverii - Herastrau,"Strada Maxim Gorki, Primaverii, Sectorul 1, Bucuresti",4400,27.5,4,160
6441,"2 camere | Parcare | Mobilat, Utilat | One Mircea Eliade","Floreasca, Sectorul 1, Bucuresti",1300,27.26,2,47.69
2977,Apartament Exclusivist Primaverii | 3 dormitoare | Ultra-Luxury |,"Primaverii, Sectorul 1, Bucuresti",4000,27.21,4,147
4724,Penthouse Premium Parcul Herastrau,"Baneasa, Sectorul 1, Bucuresti",8500,27.16,5,313
8683,3 Camere Floreasca - Barbu Vacarescu - Totul inclus,"Strada Vrancioaia, Tei, Sectorul 2, Bucuresti",1900,27.14,3,70
5821,Apartament 3 camere One Mircea Eliade- vedere lac Floreasca,"Floreasca, Sectorul 1, Bucuresti",2300,27.06,3,85
4918,La 5 minute de stația de metrou Eroii Revolutiei,"Giurgiului, Sectorul 4, Bucuresti",402.41,26.83,1,15
6129,3 Camere | One Eliade | Lux | First Rent,"Floreasca, Sectorul 1, Bucuresti",2500,26.6,3,94
7420,Parter Vila | Piata Regina Maria | Posibilitate Business,"Strada Gramont, Centrul Civic, Sectorul 4, Bucuresti",2600,26.53,4,98
6729,Apartament/Fost cabinet stomatologic central Fântâna Zodiac,"Cismigiu, Sectorul 1, Bucuresti",1990,26.53,3,75
7835,Apartament ultra-finisat cu 3 camere | 2 bai | parcare si 8mp terasa,"Floreasca, Sectorul 2, Bucuresti",2300,26.44,3,87
7106,LIGHTHOUSE RESIDENCE || APARTAMENT 2 CAMERE || HERASTRAU,"Centrul Civic, Sectorul 3, Bucuresti",1450,26.36,2,55
7248,2 Camere Herastrau | Parcare Subterana Inclusa | Bloc NOU UltraModern,"Herastrau, Sectorul 1, Bucuresti",1450,26.36,2,55
6113,2 bedrooms apartment for rent I One Mircea Eliade Residences,"Bulevardul Mircea Eliade, Floreasca, Sectorul 1, Bucuresti",2300,26.33,3,87.34
6107,One Park Herastrau I Inchiriere Apartament 4 camere I vedere lac I loc,"Strada Nicolae G. Caramfil, Aviatiei, Sectorul 1, Bucuresti",3500,26.32,4,133
8303,Penthouse | Laguna Residence |152 mp utili + 155mp terasa| Vedere Lac,"Intrarea Chefalului, Pipera, Sectorul 2, Bucuresti",4000,26.3,3,152.12
1701,Proprietar! Inchiriez garsoniera videochat,"Piata Romana, Sectorul 1, Bucuresti",600,26.09,1,23
2352,Penthouse Premium Floreasca | 7 camere | Ultra-Lux | Vedere Panoramica,"Tei, Sectorul 2, Bucuresti",6800,26.05,7,261
3728,Apartament 2 camere One Floreasca City,"Floreasca, Sectorul 1, Bucuresti",1300,26,2,50
6314,De inchiriat | Penthouse 7 camere si 2 terase | Floreasca- vedere pan,"Tei, Sectorul 2, Bucuresti",6800,25.95,7,262
8019,Penthouse de inchiriat | Parcul Herastrau | One Herastrau Towers,"Aviatiei, Sectorul 1, Bucuresti",3500,25.93,3,135
2976,Vida Herastrau 2 luxury bedrooms for rent,"Herastrau, Sectorul 1, Bucuresti",2850,25.91,3,110
8936,Apartament premium cu 5 camere | 2 garaje si boxa | vedere libera,"Dorobanti, Sectorul 1, Bucuresti",5000,25.77,5,194
2724,PRIMA ÎNCHIRIERE ! APARTAMENT 3 CAMERE ZONA BARBU,"Strada Barbu Vacarescu, Tei, Sectorul 2, Bucuresti",1700,25.76,3,66
8105,Penthouse view superb 5 camere I Zona Kiseleff I Barbu Delavrancea,"Strada Barbu Stefanescu Delavrancea, Aviatorilor, Sectorul 1, Bucuresti",4950,25.71,5,192.5
1420,Apartament cu 3 camere de inchiriat in One Charles De Gaulle,"Sectorul 1, Bucuresti",2200,25.58,3,86
5882,Apartament cu 3 camere de inchiriat in One Charles De Gaulle,"Strada Pictor Daniel Rosenthal, Primaverii, Sectorul 1, Bucuresti",2200,25.58,3,86
4015,3 Camere Dorobanti Floreasca Nemobilat Terasa 100 mp Totul Nou!,"Floreasca, Sectorul 1, Bucuresti",2300,25.56,3,90
8079,2 Camere Lux One City Floreasca Tower Dorobanti Metrou Aviatorilor Nou,"Floreasca, Sectorul 2, Bucuresti",1400,25.45,2,55
8080,2 Camere Lux One City Floreasca Tower Dorobanti Metrou Aviatorilor Nou,"Floreasca, Sectorul 2, Bucuresti",1399,25.44,2,55
5920,"Apartament de 3 camere 118mp, ultralux, centrala, parcare, Primaverii","Bulevardul Primaverii, Primaverii, Sectorul 1, Bucuresti",2990,25.34,3,118
6210,Bd. Primaverii | 3 CAMERE-118 mp | Loc parcare |Vedere 360°| bloc tip,"Bulevardul Primaverii, Primaverii, Sectorul 1, Bucuresti",2990,25.34,3,118
6885,Apartament LUX 3 camere - Rahmaninov Residence,"Strada Rahmaminov S. Vasilievici, Floreasca, Sectorul 2, Bucuresti",3900,25.32,3,154
5165,De Vanzare! Apartament cu 4 camere cu gradina in Floreasca / Bloc Nou,"Strada Donizetti Gaetano, Floreasca, Sectorul 2, Bucuresti",4000,25,4,160
7465,"Primaverii, apartament cu 3 dormitoare. Prima inchiriere","Dorobanti, Sectorul 1, Bucuresti",4000,25,4,160
