,title,address,price,price_per_sqm,rooms,sqm
15495,"DACIA-EMINESCU, Penthouse, vedere panoramica","Sectorul 2, Bucuresti",1850000,20556,3,90
351,Apartament Superlux Penthouse Luxury Primaverii,"Bulevardul Primaverii, Primaverii, Sectorul 1, Bucuresti",3200000,12308,4,260
4508,Penthouse Lux Mobilat Primaverii,"Bulevardul Primaverii, Primaverii, Sectorul 1, Bucuresti",3200000,12308,4,260
7855,Penthouse superb zona Primaverii,"Bulevardul Primaverii, Primaverii, Sectorul 1, Bucuresti",3200000,12308,4,260
8900,Penthouse Superb Luxury Primaverii,"Bulevardul Primaverii, Primaverii, Sectorul 1, Bucuresti",3200000,12308,4,260
18610,Apartament Unicat 5 camere Dorobanti Capitale I Varsovia 6,"Strada Varsovia, Dorobanti, Sectorul 1, Bucuresti",2650000,11472,5,231
970,Apartament 4 Camere | One Verdi Park | 400 Mp Gradina,"Pipera, Sectorul 2, Bucuresti",1500000,10490,4,543
15276,Exclusive Penthouse Herastrau Park View,"Herastrau, Sectorul 1, Bucuresti",5500000,10064,8,546.5
18599,"Herastrau: Penthouse 547 mpu, Living + 7 dormitoare, concept inovativ.","Herastrau, Sectorul 1, Bucuresti",5500000,10055,8,547
19136,PENTHOUSE 8 ROOMS / NORTH / ANOTHER LIFESTYLE !,"Strada Satul Francez, Francez, Sectorul 1, Bucuresti",5500000,10055,8,547
18603,"Oferta unica | Vedere panoramica | 5 camere, 4 bai | 350mpc","Primaverii, Sectorul 1, Bucuresti",2190000,9910,5,221
17277,Apartament spatios 4 camere LUX I View superb catre Lacul Floreasca,"Calea Floreasca, Floreasca, Sectorul 1, Bucuresti",1430000,9533,4,150
11090,Proprietate de * * * * * cu 5 camere în zona Kiselef,"Strada Emanoil Porumbaru, Aviatorilor, Sectorul 1, Bucuresti",1500000,9494,5,158
14439,Apartament 4 camere| Investitie | Lascar Catargiu | Victoriei - Romana,"Strada Gheorghe Manu, Victoriei, Sectorul 1, Bucuresti",850000,9444,4,90
13279,Apartament superb de lux 4 camere I Ultracentral I Calea Victoriei,"Strada Gheorghe Manu, Victoriei, Sectorul 1, Bucuresti",849990,9444,4,90
8664,VANZARE PENTHOUSE - ONE MIRCEA ELIADE - ET 19 - 5 CAMERE,"Bulevardul Mircea Eliade, Primaverii, Sectorul 1, Bucuresti",2200000,9109,5,241.51
15606,"Penthouse cu 5 camere, 5 bai | vedere panoramica | 3 garaje | 300mpc","Floreasca, Sectorul 2, Bucuresti",2200000,9091,5,242
10293,"Penthouse mobilat/utilat, Herastrau","Aviatiei, Sectorul 1, Bucuresti",1000000,8547,4,117
2972,Apartament in vila de lux kiseleff parc,"Damaroaia, Sectorul 1, Bucuresti",1360000,8500,4,160
10643,Apartament 3 camere | 230mp | 2/6 | Parcare | Herastrau,"Herastrau, Sectorul 1, Bucuresti",1950000,8478,3,230
16487,Nordului | 3 Camere | Lux | Terasa | Parcare Subterana,"Herastrau, Sectorul 1, Bucuresti",1950000,8478,3,230
18451,"Herastrau: Penthouse 535 mpu, Living + 7 dormitoare, concept inovativ.","Baneasa, Sectorul 1, Bucuresti",4500000,8411,8,535
3983,Apartament 3 Camere Superb 230 mp Utili Mobilat si Utilat,"Strada Aron Cotrus, Francez, Sectorul 1, Bucuresti",1900000,8261,3,230
13609,Penthouse superb de lux 3 camere I Zona Herastrau I Aviatiei,"Strada Trifesti, Baneasa, Sectorul 1, Bucuresti",749990,8242,3,91
13388,Apartament LUX 3 camere - One Rahmaninov,"Strada Rahmaminov S. Vasilievici, Floreasca, Sectorul 2, Bucuresti",1190000,7727,3,154
9316,Apartament lux 4 camere I Vedere catre Parcul Herastrau,"Soseaua Nordului, Herastrau, Sectorul 1, Bucuresti",1199990,7523,4,159.5
14573,Apartament lux 4 camere I Vedere catre Parcul Herastrau,"Soseaua Nordului, Sectorul 1, Bucuresti",1199990,7523,4,159.5
18206,"Herastrau: Penthouse 323 mpu, Living + 7 dormitoare, concept unic.","Sectorul 1, Bucuresti",2400000,7430,5,323
16874,"Apartament 3 camere, imobil 2022, mobilat si utilat Lux","Aviatorilor, Sectorul 1, Bucuresti",750000,7426,3,101
9963,"Penthouse Complet mobilat si utilat, Terase spectaculoase","Floreasca, Sectorul 2, Bucuresti",980000,7424,3,132
10632,"Penthouse Complet mobilat si utilat, Terase spectaculoase","Floreasca, Sectorul 1, Bucuresti",980000,7424,3,132
17487,"UNICITATE, PRIMAVERII, SUPRAFETE GENEROASE, 200 MP UTILI!","Primaverii, Sectorul 1, Bucuresti",1500000,7389,5,203
20496,Apartament 4 camere Kiseleff - Arcul de Triumf,"Aviatorilor, Sectorul 1, Bucuresti",1250000,7240,4,172.65
6515,Apartament exclusivist 5 camere in Dorobanti Capitale,"Strada Londra, Dorobanti, Sectorul 1, Bucuresti",1650000,7146,5,230.9
18427,"Apartament insorit cu 4 camere, 4 bai | 224mpc | sud-vest","Aviatorilor, Sectorul 1, Bucuresti",1120000,7000,4,160
12131,Apartament de vânzare 3 camere *Primăverii* Tur Virtual,"Strada Moliere, Primaverii, Sectorul 1, Bucuresti",540000,6923,3,78
3974,Penthouse Cotroceni cu terasa de 264 mp,"Cotroceni, Sectorul 5, Bucuresti",795000,6905,4,115.13
19310,Penthouse lux Herastrau Cartierul Francez,"Herastrau, Sectorul 1, Bucuresti",1290000,6754,5,191
16691,Penthouse minunat view superb 5 camere I Zona Kiseleff I Aviatorilor,"Strada Barbu Stefanescu Delavrancea, Aviatorilor, Sectorul 1, Bucuresti",1299900,6753,5,192.5
8475,De vanzare | Penthouse 7 camere si 2 terase | Floreasca- vedere panor,"Tei, Sectorul 2, Bucuresti",1750000,6679,7,262
10745,De Vanzare! Duplex cu 6 camere in Floreasca / Bloc Nou,"Strada Donizetti Gaetano, Floreasca, Sectorul 2, Bucuresti",1425000,6628,6,215
14695,"Aviatorilor,4camere,lux,181mp,980000Euro","Strada Emanoil Porumbaru, Aviatorilor, Sectorul 1, Bucuresti",980000,6622,4,148
3869,Apartament 4 camere unicat cu gradina in Cap Nord Baneasa,"Baneasa, Sectorul 1, Bucuresti",839000,6555,4,128
20572,Parc Verdi | 3 camere cu gradina exclusiva | 2 bai | 181mp,"Floreasca, Sectorul 2, Bucuresti",586000,6511,3,90
17286,Herastrau | Apartament superb | 3 camere I Nordului |,"Strada Elena Vacarescu, Herastrau, Sectorul 1, Bucuresti",689990,6509,3,106
19315,Parc Verdi | 4 camere | vedere spre Lac Floreasca | 216sqm,"Floreasca, Sectorul 2, Bucuresti",884000,6500,4,136
11221,Primaverii. Parter vila,"Primaverii, Sectorul 1, Bucuresti",650000,6500,3,100
8748,PROPRIETATE 4 CAMERE FLOREASCA,"Calea Floreasca, Floreasca, Sectorul 1, Bucuresti",1090000,6412,4,170
14165,Apartament 2 camere cu terasa spectaculoasa in Herastrau,"Strada Zagazului, Aviatiei, Sectorul 1, Bucuresti",445000,6357,2,70
5262,Spectacular 2 bedrooms in One Verdi | Parking Included,"Tei, Sectorul 2, Bucuresti",515000,6280,3,82
16010,Penthouse 4 camere de vanzare in ONE Herastrau Towers,"Aviatiei, Sectorul 1, Bucuresti",1250000,6219,4,201
17255,Penthouse minunat 5 camere I View superb I Ansamblu rezidential lux,"Strada Grigore Gafencu, Herastrau, Sectorul 1, Bucuresti",1990000,6199,5,321
11391,Penthouse exceptional 5 camere de lux I Zona Herastrau I View superb,"Strada Grigore Gafencu, Herastrau, Sectorul 1, Bucuresti",1499900,6198,5,242
11304,Apartament duplex 5 camere One Floreasca Vista cu gradina,"Strada Elena Caragiani, Aviatiei, Sectorul 1, Bucuresti",1500000,6173,5,243
17280,3 rooms | Luxury apartament | 2 parking spaces | Lighthouse Residence,"Herastrau, Sectorul 1, Bucuresti",640000,6154,3,104
13266,4 camere in Floreasca cu vedere placuta. Finisaje la alegere,"Floreasca, Sectorul 2, Bucuresti",750000,6148,4,122
496,4 CAMERE CU TERASA/CURTE SI GARAJ DOROBANTI CAPITALE,"Dorobanti, Sectorul 1, Bucuresti",780000,6094,4,128
