,title,address,price,price_per_sqm,rooms,sqm
385,Inchiriez garsnoiera confort 3 Manastur,"Marasti, Cluj-Napoca, Cluj",160.97,13.41,1,12
2194,Dau în chirie garsonieră 1 cameră,"Marasti, Cluj-Napoca, Cluj",190,7.92,1,24
882,Garsoniera modesta in zona Autogara Beta / Scoala de Politie,"Dambul Rotund, Cluj-Napoca, Cluj",199,8.65,1,23
929,Garsoniera de vânzare în zona Gheorgheni,"Andrei Muresanu, Cluj-Napoca, Cluj",200,18.18,1,11
123,Inchiriez garsoniera,"Gheorgheni, Cluj-Napoca, Cluj",201.21,9.15,1,22
2360,Garsoniera cart. Zorilor,"Marasti, Cluj-Napoca, Cluj",220,7.33,1,30
2182,Închiriez garsonieră in Mărăști,"Plopilor, Cluj-Napoca, Cluj",220,8.46,1,26
2359,"Termen scurt-mediu-lung, Iulius Mall, din iulie","Gheorgheni, Cluj-Napoca, Cluj",240,16,1,15
360,Inchiriz garsoniera,"Iris, Cluj-Napoca, Cluj",241.45,9.29,1,26
655,Garsoniera spatioasa la curte sau spatiu pentru firma.,"Dambul Rotund, Cluj-Napoca, Cluj",250,5,1,50
609,"Spatiu 40 mp, Strada Sanatoriului","Dambul Rotund, Cluj-Napoca, Cluj",250,6.25,1,40
778,De închiriat garsonieră cartier Bună Ziua,"Zorilor, Cluj-Napoca, Cluj",250,6.25,1,40
849,Închiriez apartament cu o cameră,"Marasti, Cluj-Napoca, Cluj",250,6.25,1,40
2076,"Inchiriez spatiu pt. firmă, birouri sau depozit","Marasti, Cluj-Napoca, Cluj",250,6.25,1,40
2118,"Spatiu birou de inchiriat, 40mp, 3 parcari, str. Campului","Strada Campului, Manastur, Cluj-Napoca, Cluj",250,6.25,1,40
2033,"Garsoniera, 35 mp, gradina, imobil de tip casa, zona UMF","Strada Sighisoarei, Zorilor, Cluj-Napoca, Cluj",250,7.14,1,35
972,Închiriez garsoniera,"Marasti, Cluj-Napoca, Cluj",250,7.81,1,32
375,Persoana fizica ofer garsoniera din 1 iunie,"Marasti, Cluj-Napoca, Cluj",250,8.33,1,30
924,Inchiriere garsoniera 30 mp decomandata str Teleorman CLuj Napoca,"Marasti, Cluj-Napoca, Cluj",250,8.33,1,30
166,"Inchriez garsoniera conf. I, in Manastur, etaj 1/10.","Marasti, Cluj-Napoca, Cluj",250,8.62,1,29
1692,Apartament cu 1 cameră de închiriat | Zorilor - Str. Luceafărului,"Zorilor, Cluj-Napoca, Cluj",250,8.93,1,28
204,NOU Renovată utilată/mobilată garsonieră strada Fabricii zona Terapia,"Marasti, Cluj-Napoca, Cluj",250,9.26,1,27
245,250€ Garsonieră NOU renovată utilată complet,"Marasti, Cluj-Napoca, Cluj",250,9.26,1,27
531,Garsonieră NOU renovată 1 cameră / Strada Fabricii Mărăști,"Marasti, Cluj-Napoca, Cluj",250,9.26,1,27
716,Garsonieră renovată NOU / Strada Fabricii zona Terapia Mărăști,"Marasti, Cluj-Napoca, Cluj",250,9.26,2,27
945,250€ / Garsonieră NOU renovată / Strada Fabricii zona Terapia,"Marasti, Cluj-Napoca, Cluj",250,9.26,1,27
324,"Garsoniera, 1 camera, situata in Grigorescu!","Strada David Ferenc, Centru, Cluj-Napoca, Cluj",250,10.42,2,24
