,title,address,price,price_per_sqm,rooms,sqm
8520,"EXCLUSIV Penthouse 5 camere de vânzare, West City Tower 0%COMISION","Calea Floresti, Manastur, Cluj-Napoca, Cluj",800000,3670,5,218
2140,Apartament cu 4 camere de vânzare în zona Ultracentral,"Centru, Cluj-Napoca, Cluj",750000,4076,4,184
7614,"Penthhouse, 240 mp, strada Calea Baciului","Dambul Rotund, Cluj-Napoca, Cluj",749000,2497,4,300
9136,"Penthouse DE LUX, 177 mp utili, 107 mp terasă, view, zona Calea...","Calea Turzii, Zorilor, Cluj-Napoca, Cluj",660000,3750,3,176
1267,Apartament 4 camere în zona CASA DE CULTURA A STUDENTILOR,"Marasti, Cluj-Napoca, Cluj",650000,4012,4,162
3067,Apartament cu 4 camere zona str. Republicii,"Centru, Cluj-Napoca, Cluj",650000,4012,4,162
4196,Apartament in cladire istorica 162mp cu 5 locuri de parcare. Comision,"Centru, Cluj-Napoca, Cluj",650000,4012,4,162
4274,"Apartament in cladire istorica, 162 mp, Ultracentral, str. Republicii","Centru, Cluj-Napoca, Cluj",650000,4012,4,162
4289,Apartament 5 camere | Decomandat | Parcare | Centru | Casa Studentilor,"Centru, Cluj-Napoca, Cluj",650000,4012,5,162
517,"Apartament 4 camere de vanzare in Plopilor, Cluj Napoca","Marasti, Cluj-Napoca, Cluj",630000,4632,4,136
4406,Zona Parcul Rozelor,"Strada Plopilor, Plopilor, Cluj-Napoca, Cluj",630000,4632,4,136
5075,Penthouse cu suprafata generoasa 177 mp + 107 mp terasa,"Zorilor, Cluj-Napoca, Cluj",600000,3390,3,177
4382,Penthouse zona semicentrala,"Strada Constantin Brancusi, Gheorgheni, Cluj-Napoca, Cluj",600000,3297,4,182
8561,"Penthouse DE LUX, 182 mp utili, 4 terase, SMART HOME","Strada Aron Densusianu, Gheorgheni, Cluj-Napoca, Cluj",600000,3296,4,182.04
4119,Penthouse | Gheorgheni | De vanzare!,"Strada Constantin Brancusi, Andrei Muresanu, Cluj-Napoca, Cluj",599999,3297,4,182
7153,Apartament de vanzare in SEMILUNA. Premium. Raritate.,"Strada Plopilor, Plopilor, Cluj-Napoca, Cluj",590000,4370,4,135
