,title,address,price,price_per_sqm,rooms,sqm
76,ARCU GARA - camera de camin - mobilata - FARA GARANTIE,"Centru, Iasi, Iasi",130.78,6.54,1,20
44,Pf inchiriez camera camin 12 mp bularga lateral de secția 5 politie,"Centru, Iasi, Iasi",140.64,11.72,1,12
104,Garsoniera Copou de inchiriat,"Galata, Iasi, Iasi",140.85,7.04,1,20
1049,Inchiriez garsoniera in Pacurari 700 lei,"Centru, Iasi, Iasi",140.85,7.04,1,20
1033,Inchirez camera iasi copou,"Centru, Iasi, Iasi",140.85,9.39,1,15
1052,"Garsoniera Podu Ros, Dedeman, 150 euro","Bulevardul Socola, Tesatura, Iasi, Iasi",150,7.14,1,21
494,"Garsoniera Baza 3,Bularga","Strada Bariera Veche, Bularga, Iasi, Iasi",150,8.82,1,17
601,2 camere la vilă,"Centru, Iasi, Iasi",150.91,9.43,2,16
1002,Pf inchiriez camera camin 18 mp pod bucium,"Centru, Iasi, Iasi",160,8.89,1,18
662,"Garsonira KAUFLAND Podu Ros , / SI gars PALAS MALL 33 MP","Centru, Iasi, Iasi",160.97,4.88,1,33
493,Camera de inchiriat,"Centru, Iasi, Iasi",160.97,6.71,1,24
292,"Camera camin/garsoniera, 17mp,mobilata/utilata, Bularga","Bularga, Iasi, Iasi",160.97,9.47,1,17
553,Garsoniera Zimbru 165 euro,"Dacia, Iasi, Iasi",165,9.71,1,17
299,1 camera Canta 40 mp et. 3 mobilat bloc 1980 Cod:151101,"Strada Canta, Canta, Iasi, Iasi",170,4.25,1,40
211,"Apartament de 1 camera, 18 mp, zona Canta","Soseaua Pacurari, Pacurari, Iasi, Iasi",170,9.44,1,18
192,"Apartament de 1 cameră, 17mp, zona Bularga","Strada Mihail Sturdza, Bularga, Iasi, Iasi",170,10,1,17
404,Anchiriez camera de camin,"Centru, Iasi, Iasi",170,10,1,17
483,P.F.inchiriez camera de cămin cu centrala gaz,"Tudor Vladimirescu, Iasi, Iasi",171.03,9.5,1,18
657,Camera camin de inchiriat,"Centru, Iasi, Iasi",171.03,9.5,1,18
559,"Garsoniera zona Tatarasi-Metalurgieii, la 5 minute distanta fata de Iu","Tatarasi Sud, Iasi, Iasi",179,7.16,1,25
905,Garsoniera in Alexandru cel Bun incalzire calorifer electric,"Centru, Iasi, Iasi",180,7.5,1,24
215,"Apartament de 1 camera, 20 mp, semidecomandat, zona Bularga","Bularga, Iasi, Iasi",180,9,1,20
318,Camera de inchiriat la casa in Iasi zona Nicolina - Spitalul de Recupe,"Strada Urechia Vasile A., Galata, Iasi, Iasi",180,10,1,18
967,Central Mitropolie camere bloc tip vila cu baie personala de inchiriat,"Podu Ros, Iasi, Iasi",180,10,1,18
410,Încheiere garsoniera CFR pacurari,"Pacurari, Iasi, Iasi",180,12,1,15
168,Garsonieră Tatarasi piața Chirilă,"Centru, Iasi, Iasi",180.89,6.96,1,26
291,"Cam.camin/Garsoniera, cu CT, mobilata/utilata,Canta","Canta, Iasi, Iasi",181.09,10.65,1,17
29,Pf inchiriez camera camin 17 mp pod bucium spalatoria socar!,"Centru, Iasi, Iasi",191.15,11.24,1,17
233,Copou camera cu baie personala pentru 1 persoana cheltuieli incluse,"Copou, Iasi, Iasi",200,5,1,40
417,Ultracentral - Copou langa Univ.Cuza si UMF camera de inchiriat,"Podu Ros, Iasi, Iasi",200,5,1,40
677,"Centru,langa Cuza si P Unirii,ap 1c,mob,200eu","Centru, Iasi, Iasi",200,5.71,1,35
193,"Apartament de 1 camera, 30 mp, decomandat, zona Manta Rosie","Strada Nicolae Negura, Manta Rosie, Iasi, Iasi",200,6.67,1,30
575,"Garsoniera Tudor- fix langa camine- centrala termica, aer coditionat","Centru, Iasi, Iasi",200,6.9,1,29
86,Garsonieră 26mp - mobilată și utilată | Nicolina,"Podu Ros, Iasi, Iasi",200,7.69,1,26
647,"Etaj 3! Garsoniera Nicolina, 26mp, mobilata+utilata","Podu Ros, Iasi, Iasi",200,7.69,1,26
363,"Apartament de 1 camera, 25 mp, decomandat, zona Copou","Strada Sararie, Copou, Iasi, Iasi",200,8,2,25
732,Garsoniera Nicolina,"Centru, Iasi, Iasi",200,8.33,1,24
223,"Garsoniera 200 euro, mobilat si utilat","Centru, Iasi, Iasi",200,11.11,1,18
396,Garsoniera tip studio spre inchiriere zona Frumoasa,"Frumoasa, Iasi, Iasi",200,11.11,1,18
573,Garsoniera tip studio spre inchiriere zona FRUMOASA,"Frumoasa, Iasi, Iasi",200,11.76,1,17
642,Camera la Vila Copou Pt 1 Fata Cu Cheltuieli Incluse In Chirie,"Podu Ros, Iasi, Iasi",200,13.33,1,15
812,"Garsonieră, decomandată, 15mp, zona Centrală","Strada Morilor, Uzinei, Iasi, Iasi",200,13.33,1,15
998,"Proprietar,închiriez camera mare în vilă, centru,lângă Palas","Centru, Iasi, Iasi",201.21,8.05,1,25
111,PF inchiriez garsoniera/camera de camin,"Centru, Iasi, Iasi",201.21,10.06,1,20
284,Prima Chirie! Valabilă din 1 Iunie! Garsoniera Noua in Frumoasa! Iasi,"Iasi, Iasi",201.21,12.58,1,16
568,Închiriez camera de camin bularga,"Centru, Iasi, Iasi",201.21,16.77,1,12
664,"Garsoniera Tudor- fix langa camine- centrala termica, aer coditionat","Centru, Iasi, Iasi",210,6.36,1,33
109,PF garsoniera de inchiriat,"Centru, Iasi, Iasi",210,8.4,1,25
841,Valea Adanca apartament 2 camere de inchiriat,"Podu Ros, Iasi, Iasi",220,4,2,55
787,"Nicolina, garsoniera mobilata si utilata","Strada Halipa Pantelimon, Nicolina 1, Iasi, Iasi",220,7.33,1,30
45,Garsoniera de închiriat,"Centru, Iasi, Iasi",220,7.86,1,28
598,Garsoniera Nicolina,"Nicolina 2, Iasi, Iasi",220,10,1,22
384,Garsoniera de vanzare Pacurari,"Pacurari, Iasi, Iasi",220,11,1,20
366,"PALAS MALL , GARSONIERA 2 mp, mobilata utilata","Centru, Iasi, Iasi",221.33,7.38,1,30
408,Podu Ros - 500 m distanta de PALAS MALL- garsoniera mobilata,"Centru, Iasi, Iasi",221.33,7.38,1,30
97,Mutare Imediata 1Iunie! Gars Noua cu Parcare Privata! Iasi / Tatarasi,"Zona Industriala, Iasi, Iasi",221.33,10.06,1,22
425,Chirie Valabilă din 1 Iunie! Gars Noua Mobilată și Utilată! Iasi,"Zona Industriala, Iasi, Iasi",221.33,10.06,1,22
1056,Persoană fizică închiriez garsonieră / cameră de cămin,"Centru, Iasi, Iasi",221.33,12.3,1,18
655,"Apartament 1 camera SPATIOS-Pacurari/Piata Pacurari, mutare rapida!","Pacurari, Iasi, Iasi",229,5.09,1,45
1026,Închiriez apartament cu o cameră spatios,"Podu Ros, Iasi, Iasi",230,5.23,1,44
989,Apartament 2 Camere Mircea 230 euro,"Strada Roman Voda, Alexandru Cel Bun, Iasi, Iasi",230,5.48,2,42
733,Pacurari Kaufland apartament 1 camera de inchiriat,"Podu Ros, Iasi, Iasi",230,5.75,1,40
879,"Apartament 1 camera, cartierul Visoianu","Podu Ros, Iasi, Iasi",230,7.67,1,30
279,Apartament cu 1 camera in Alexandru cel Bun,"Centru, Iasi, Iasi",230,9.58,1,24
599,Persoana fizica Garsoniera la casa zona centrala,"Centru, Iasi, Iasi",231.39,11.57,1,20
185,Inchiriez 2 camere in casa de 80 mp capat cug valea adanca,"Centru, Iasi, Iasi",240,3,2,80
469,"Apartament nou cu o camera , zona Capat Cug","CUG, Iasi, Iasi",240,8,1,30
434,Garsoniera tip STUDIO Copou - Univ. Al I Cuza,"Pacurari, Iasi, Iasi",240,10.91,1,22
49,Anunt actualizat. Ap 1 cam zona Piata Nicolina Kaufland,"Centru, Iasi, Iasi",241.45,6.9,1,35
1040,Garsoniera Pacurari,"Centru, Iasi, Iasi",241.45,9.66,1,25
878,Garsoniera Granit,"Tesatura, Iasi, Iasi",241.45,10.06,1,24
1024,Inchiriez-Ofer Gazda 1CD/3CD-termen scurt-Exam.Univ-chetuieli incluse,"Centru, Iasi, Iasi",250,3.57,1,70
198,"Ap 3 camere decomandat de inchiriat, etaj 1, nemobilat","Baza 3, Iasi, Iasi",250,4.17,3,60
963,Targu Cucu Ultracentral Apartament - Casa De Inchiriat,"Podu Ros, Iasi, Iasi",250,4.17,2,60
311,Inchireri apartament,"Bularga, Iasi, Iasi",250,4.24,3,59
1031,Apartament 2 camere CUG,"Centru, Iasi, Iasi",250,4.46,2,56
