,title,address,price,price_per_sqm,rooms,sqm
839,"Camera de Camin Piata Nicolina, etaj intermediar","Centru, Iasi, Iasi",8500,850,1,10
1461,"Urgent! Garsoniera, Pod Ros","Podu Ros, Iasi, Iasi",10400,743,1,14
3590,Camera de 16 mp Bld. Chimiei nr.14,"Podu Ros, Iasi, Iasi",12300,724,1,17
43,Pf vand camera camin 12 mp bucium 34 lateral de sectia politie Nr 5 .,"Centru, Iasi, Iasi",12500,1042,1,12
2946,Camera de camin,"Podu Ros, Iasi, Iasi",13000,765,1,17
1202,"Urgent! Garsoniera zona LDL Pod Ros, 5 minute Palas","Podu Ros, Iasi, Iasi",14000,778,1,18
3238,"Camera de camin, Podu Ros, 17mp, pret negociabil","Podu Ros, Iasi, Iasi",14900,876,1,17
1081,"Garsoniera Mobilata, LDL Pod Ros","Podu Ros, Iasi, Iasi",15000,833,1,18
857,Cameră de Cămin cu baie proprie - DE VÂNZARE,"Centru, Iasi, Iasi",15000,1250,1,12
849,"Garsoniera, Mobilata, Nicolina","Podu Ros, Iasi, Iasi",15500,861,1,18
1835,"Camera camin Bularga, etaj 2, mobilata","Bularga, Iasi, Iasi",15500,969,1,16
4400,Camera Camin Bularga,"Bularga, Iasi, Iasi",15900,994,1,16
1103,"Apartament 2 camere, Decomandat, CUG-Selgros, etaj 2","Tudor Vladimirescu, Iasi, Iasi",15995.98,307.62,2,52
435,"Camera camin/garsoniera, 17mp,AC,mobilata/utilata, Bularga","Bularga, Iasi, Iasi",16000,941,1,17
520,Apartament 2 camere cu gradina - Sos. Voinesti 33 - Intabulat,"Centru, Iasi, Iasi",16096.58,303.71,2,53
3234,Camera Camin Bularga,"Bularga, Iasi, Iasi",16300,1019,1,16
2951,Camera Camin Sturza,"Podu Ros, Iasi, Iasi",16800,988,1,17
267,"Ap 1 camera Decomandat, Bloc Nou, etaj1, Confort1","Podu Ros, Iasi, Iasi",17000,567,1,30
308,"Garsoniera etaj 1, Renovata, Mobilata","Podu Ros, Iasi, Iasi",17000,944,1,18
911,"Garsoniera Mobilata, Baie+Bucatarie","Podu Ros, Iasi, Iasi",17000,944,1,18
1204,"Garsoniera Mobilata, Lux","Podu Ros, Iasi, Iasi",17000,944,1,18
1536,"Garsoniera Nicolina, Mobilata, Lux etaj2","Nicolina 1, Iasi, Iasi",17000,944,1,18
390,Camera cămin Mihail Sturza,"Centru, Iasi, Iasi",17500,1094,1,16
2845,"Garsoniera mica, Alexandru cel Bun, Familial, 12 mp","Centru, Iasi, Iasi",18000,1500,1,12
1505,Proprietar garsoniera 17m et2,"Centru, Iasi, Iasi",18300,1076,1,17
1090,Vand camera de camin,"Centru, Iasi, Iasi",19000,1118,1,17
2132,Camera de camin Frumoasa de vanzare!,"Iasi, Iasi",19000,1118,1,17
2646,"Persoana fizica ,Vând camera de camin","Centru, Iasi, Iasi",19000,1118,1,17
4091,"Etaj 1! Garsoniera 17mp, Granit - Baza 3 - Bularga","Podu Ros, Iasi, Iasi",19000,1118,1,17
64,Pf vand camera camin 17 mp pod bucium spalatoria socar bloc incom!,"Centru, Iasi, Iasi",19500,1147,1,17
2647,Camera camin Bularga strada Mihail Sturza,"Centru, Iasi, Iasi",19800,1100,1,18
343,Camera camin 16m2 | Zona Bularga Iasi,"Centru, Iasi, Iasi",20000,1250,1,16
3060,Camera de camin de vanzare zona Bularga,"Bularga, Iasi, Iasi",21000,1235,1,17
1777,"Apartament, 18 m²,","Podu Ros, Iasi, Iasi",21500,1194,1,18
2713,"Etaj 1! Garsoniera, Frumoasa - Nicolina, 17mp","Podu Ros, Iasi, Iasi",21500,1265,1,17
1501,Garsoniera Zona Poitiers Mutare Imediata,"Centru, Iasi, Iasi",22000,1100,1,20
4823,Garsoniera ACB- Familial et1 22500€,"Alexandru Cel Bun, Iasi, Iasi",22500,1875,1,12
266,"Ap 2 camere etaj1, BLOC Nou","Podu Ros, Iasi, Iasi",23000,575,2,40
2160,Garsoniera in zona Nicolina-Pepinierei in bloc din 2019,"Centru, Iasi, Iasi",23000,1353,1,17
2488,Camera de camin de vanzare Frumoasa!,"Iasi, Iasi",23000,1353,1,17
592,"Garsoniera Renovata, Mobilata","Podu Ros, Iasi, Iasi",23500,1022,1,23
803,"24.000! Ap 1 camera, 30mp, etaj2, Bloc 2018, Tudor","Podu Ros, Iasi, Iasi",24000,800,1,30
720,"Garsoniera Renovata, Bloc Apartamente","Podu Ros, Iasi, Iasi",24000,1091,1,22
789,"Camera de camin, renovata integral, de vanzare in zona Bularga-Dedeman","Bularga, Iasi, Iasi",24500,1441,1,17
836,"Camera Camin, Baza 3- Dedeman, etaj 3","Centru, Iasi, Iasi",24500,1441,1,17
311,Păcurari Bloc Nou Ap 1 camera,"Podu Ros, Iasi, Iasi",25000,893,1,28
