,title,address,price,price_per_sqm,rooms,sqm
75,Proprietar inchiriez apartament cu 2 camere langa Spitalul Judetean,"Tipografilor, Timisoara, Timis",66.4,1.66,2,40
17,Închiriez Ap 1 Cameră,"Antene, Timisoara, Timis",100,3.33,1,30
133,Garsoniera Complexul Studentesc,"Cetate, Timisoara, Timis",140,7.78,1,18
234,apartament o camera Blascovici,"Cetate, Timisoara, Timis",150,5,1,30
790,garsoniera Circumvalatiunii,"Cetate, Timisoara, Timis",150,5.36,1,28
815,Olimpia Stadion Garsoniera,"Campus Universitar, Timisoara, Timis",150,6.82,1,22
333,"UMT - Garsoniera, etaj 1","UMT, Timisoara, Timis",150,9.38,1,16
61,Închiriez Garsoniera,"Lipovei / Calea Sever Bocu, Timisoara, Timis",150,10,1,15
1030,Garsoniera - Complex Studențesc -Olimpia,"Cetate, Timisoara, Timis",150,10.71,1,14
536,închiriez garsonieră aproape de Iulius Mall,"Cetate, Timisoara, Timis",150,12.5,1,12
570,"Buziasului - Garsoniera, etaj 1","Ciarda Rosie, Timisoara, Timis",160,8,1,20
236,Apartament cu o cameră,"Cetate, Timisoara, Timis",160,8.89,1,18
1241,Inchiriez garsoniera zona Girocului,"Plavat, Timisoara, Timis",160,10,1,16
407,Garsoniera Calea Sagului,"Cetate, Timisoara, Timis",160,13.33,1,12
596,inchiriez central garsoniera,"Cetate, Timisoara, Timis",165,5.5,1,30
678,"Apartament 1 camera, decomandat parter, zona Lunei","Calea Buziasului, Timisoara, Timis",170,5.31,1,32
567,Spre inchiriere garsoniera in Timisoara,"Cetate, Timisoara, Timis",170,6.8,1,25
68,Inchiriere garsoniera,"Cetate, Timisoara, Timis",170,8.5,1,20
325,"Garsoniera 17mp, in Complexul Studentesc","Campus Universitar, Timisoara, Timis",170,10,1,17
735,Garsoniera Renovata Buziasului,"Strada Martir Marius Nemtoc, Ciarda Rosie, Timisoara, Timis",170,10,1,17
1086,Închiriez garsonieră!,"Circumvalatiunii, Timisoara, Timis",170,13.08,1,13
909,Închiriez camera la casa,"Cetate, Timisoara, Timis",171.03,14.25,1,12
555,apartament 1 camera in Lipovei,"Cetate, Timisoara, Timis",180,5.14,1,35
347,Închiriezb apartament 1 camera,"Cetate, Timisoara, Timis",180,5.62,1,32
132,Garsoniera / Tiny-apartment superb in Calea Sagului -direct proprietar,"Cetate, Timisoara, Timis",180,6.43,1,28
543,apartament o camera Take Ionescu,"Cetate, Timisoara, Timis",180,6.43,1,28
