,title,address,price,price_per_sqm,rooms,sqm
2841,Garsoniera conf.3 langa Facultatea de Medicina - Take Ionescu,"Strada Doctor Alexandru Martha, Cetate, Timisoara, Timis",14000,1273,1,11
125,Camera de vânzare/ Calea Buziașului,"Cetate, Timisoara, Timis",21000,1313,1,16
802,"Garsoniera de vanzare, Timisoara, Lugojului","Cetate, Timisoara, Timis",22500,1406,1,16
531,"Garsoniera Iulius Mall Timisoara [complet utilata, investitie ideala]","Cetate, Timisoara, Timis",22500,2045,1,11
243,"Garsoniera - camera camin, zona UMT, 16 mp","Strada Babadag, UMT, Timisoara, Timis",23000,1438,1,16
2014,"Garsoniera ,persoana fizica","Lipovei / Calea Sever Bocu, Timisoara, Timis",23000,1533,1,15
3180,"Garsoniera, renovata, zona Modern","Dorobantilor, Timisoara, Timis",23000,1917,1,12
1549,Garsoniera de vanzare in zona Soarelui,"Strada Pepinierei, Calea Girocului, Timisoara, Timis",23500,1679,1,14
2307,"Garsoniera de 12 mp, etaj intermediar, Dacia","Strada Labirint, Circumvalatiunii, Timisoara, Timis",23500,1958,1,12
339,Garsoniera Iulius Mall Timisoara - complet utilata,"Cetate, Timisoara, Timis",23500,2136,1,11
458,"Vand garsoniera cu baie proprie, direct de la proprietar, zona Iosefin","Cetate, Timisoara, Timis",23900,1992,1,12
459,"Vanzare garsoniera cu baie proprie, direct de la proprietar, zo","Cetate, Timisoara, Timis",23900,1992,1,12
268,Proprietar vând garsoniera zona Soarelui Judetean,"Cetate, Timisoara, Timis",23900,2173,1,11
2394,Garsoniera zona Soarelui,"Aleea Azurului, Zona Soarelui, Timisoara, Timis",23900,2173,1,11
141,Garsoniera Renovata Etaj 1,"Strada Babadag, UMT, Timisoara, Timis",24000,1500,1,16
1432,"Garsoniera, 16 mp, etaj intermediar, zona Electrotimis","Calea Buziasului, Calea Buziasului, Timisoara, Timis",24000,1500,1,16
