,title,address,price,price_per_sqm,rooms,sqm
1,Inchiriez apartament 2 camere in Drumul Taberei,"Militari, Sectorul 6, Bucuresti",291.75,5.95,2,49.0
2,Închiriez apartament 2 camere,"Berceni, Sectorul 4, Bucuresti",350.0,8.33,2,42.0
3,Piata Unirii UMF / Univ. Cuza apartament 3 camere decomandat,"Centru, Iasi, Iasi",600.0,7.06,3,85.0
4,Piata Unirii UMF apartament cu 2 dormitoare si miniliving,"Centru, Iasi, Iasi",550.0,10.0,2,55.0
5,Piata Unirii UMF Lux Apartament 3 Camere Open Space,"Centru, Iasi, Iasi",700.0,11.67,3,60.0
6,Centru Gara Mc Donalds apartament 1 camera,"Gara, Iasi, Iasi",300.0,7.5,1,40.0
7,"Proprietar, Apartament Politehnica Park Grozavesti","Militari, Sectorul 6, Bucuresti",390.0,10.54,1,37.0
8,Domenii | Aviatorilor | 1 Mai | Luxuria Residence | Romexpo | Parcare,"Strada Parcului, Sectorul 1, Bucuresti",1200.0,13.04,3,92.0
9,Floreasca | Dorobanti | Stefan Cel Mare | Dinamo | Metrou | Centrala,"Strada Tunari, Stefan cel Mare, Sectorul 2, Bucuresti",600.0,10.91,2,55.0
10,Bucurestii Noi | Jiului | Baneasa | Kaufland | 2015 | Metrou | Central,"Bulevardul Bucurestii Noi, Pajura, Sectorul 1, Bucuresti",600.0,6.9,2,87.0
11,Garsoniera zona - Rond Baba Novac - Mihai Bravu | Metrou Muncii 8 minu,"Decebal, Sectorul 3, Bucuresti",399.0,9.97,1,40.0
12,Garsoniera decomandata -P-ta Muncii | Mihai Bravu | Metrou 8 minute,"Iancului, Sectorul 2, Bucuresti",399.0,9.97,1,40.0
13,Inchiriez apartament 2 camere sector 4,"IMGB, Sectorul 4, Bucuresti",400.0,7.02,2,57.0
14,"Apartament 1 camera Alexandru cel Bun , 29 metri, etaj 3 Cod:150981","Bulevardul Alexandru cel Bun, Alexandru Cel Bun, Iasi, Iasi",260.0,8.97,1,29.0
15,"Apartament 2 camere Bucium , 49 metri, etaj parter Cod:148750","Soseaua Bucium, Bucium, Iasi, Iasi",370.0,7.55,2,49.0
16,De inchiriat | Apartament 2 camere decomandat | ONE ELIADE TOWER,"Bulevardul Mircea Eliade, Floreasca, Sectorul 1, Bucuresti",1200.0,20.0,2,60.0
17,Studio - zona - Liberty Center | Mobilat & Utiliat - Mutare imediata,"Rahova, Sectorul 5, Bucuresti",399.0,9.97,1,40.0
18,Studio Premium - Liberty Center | Mobilat & Utiliat - Mutare imediata,"Rahova, Sectorul 5, Bucuresti",399.0,9.97,1,40.0
19,Inchiriez apartament 3 camere Berceni,"Aparatorii Patriei, Sectorul 4, Bucuresti",550.0,7.63,3,72.12
20,Nicolae Grigorescu Parcul Titan Parklake Dristor Lux,"Titan, Sectorul 3, Bucuresti",650.0,9.56,2,68.0
21,Garsoniera de inchiriat soseaua panduri 30,"Soseaua Panduri, Cotroceni, Sectorul 5, Bucuresti",350.0,11.67,1,30.0
22,"Inchiriez 2 camere mobilat și utilat, Eroii Revoluției City Mall","Berceni, Sectorul 4, Bucuresti",450.0,9.0,2,50.0
23,"Inchiriez apartament central 2 camere, vedere catre malul Begai","Cetate, Timisoara, Timis",299.0,5.98,2,50.0
24,"Apartament 2 camere, loc parcare inclus, Ambasador Home - Otopeni","Drumul Odaii, Otopeni, Ilfov",550.0,9.48,2,58.0
25,Apartament modern | Bloc lux | zona IULIUS MALL / FSEGA,"Gheorgheni, Cluj-Napoca, Cluj",499.0,10.85,2,46.0
26,"Apartament cu 3 camere, 95mp, Decomandat, in zona Calea Martirilor","Calea Girocului, Timisoara, Timis",600.0,6.32,3,95.0
27,Studio 2 camere -Prima inchiriere - Liberty Center | Mobilata & Utilat,"Rahova, Sectorul 5, Bucuresti",399.0,9.97,2,40.0
28,Studio 2 camere - Prima inchiriere-Liberty Center | Mobilata & Utilat,"Rahova, Sectorul 5, Bucuresti",399.0,9.97,2,40.0
29,Inchiriere apartament 2 camere Regie,"Militari, Sectorul 6, Bucuresti",400.0,8.89,2,45.0
30,"Închiriere Garsonieră în Dudu, Chiajna","Rosu, Chiajna, Ilfov",261.57,8.72,1,30.0
31,H Pipera Lake Rond Omv Aviatiei Pipera Plaza Bloc Nou 2022 Parcare Lux,"Voluntari, Ilfov",575.0,9.91,2,58.0
32,2 Camere Lux | H Pipera Lake | Pipera-Aviatiei | Parcare,"Voluntari, Ilfov",575.0,11.06,2,52.0
33,2 Camere Lux | H Pipera Lake | Pipera-Aviatiei | Parcare,"Voluntari, Ilfov",550.0,10.19,2,54.0
34,"Apartament de 2 camere,55mp,Zona MANASTUR","Manastur, Cluj-Napoca, Cluj",400.0,7.27,2,55.0
35,Inchiriez garsoniera in zona Crangasi - 3m de metrou,"Militari, Sectorul 6, Bucuresti",281.69,10.43,1,27.0
