,title,address,price,price_per_sqm,rooms,sqm
1,Garsonieră Riviera,"Damaroaia, Sectorul 1, Bucuresti",35000.0,897.0,1,39.0
2,"Exclusivitate, Apartament 2 camere central 0% comision la cumparare","Strada Traian, Centru, Cluj-Napoca, Cluj",116000.0,2035.0,2,57.0
3,"Apartament cu 1 camera, zona Gheorghe Dima, Zorilor","Zorilor, Cluj-Napoca, Cluj",66000.0,2357.0,1,28.0
4,"Penthouse superb, mobilat, utilat, 3 terase, 2 parcari 0 % comision","Strada Macesului, Buna Ziua, Cluj-Napoca, Cluj",289000.0,2979.0,3,97.0
5,"0% Comision!Apartament 3 camere, 87 mp, et.1/7, zona Calea Baciului","Strada Jupiter, Baciu, Cluj",127500.0,1466.0,3,87.0
6,"Apartament de lux cu 2 camere, mobilat si utilat, parcare, totul nou","Zorilor, Cluj-Napoca, Cluj",155000.0,2981.0,2,52.0
7,Apartament decomandat cu 2 camere\/ ETAJ 2 + centrala proprie- Zona L,"Strada Verde, Lipovei / Calea Sever Bocu, Timisoara, Timis",79990.0,1481.0,2,54.0
8,Apartament 2 camere+ centrala proprie I ETAJ 1- Zona Aradului,"Calea Aradului, Aradului West, Timisoara, Timis",81990.0,1640.0,2,50.0
9,Garsoniera Nicolae Grigorescu,"Strada Mihale Stelian N., Titan, Sectorul 3, Bucuresti",42500.0,1466.0,1,29.0
10,Garsoniera metrou Nicolae Teclu,"Drumul Gura Crivatului, Theodor Pallady, Sectorul 3, Bucuresti",52228.0,1135.0,1,46.0
11,Apartament/3 camere 67 Mp utili/2 bai/ Intre Lacuri/ Pret excelent!,"Intre Lacuri, Cluj-Napoca, Cluj",133780.0,1997.0,3,67.0
12,"Apartament mobilat, decomandat, intabulat, 2 camere Moara de vant.","Moara de Vant, Iasi, Iasi",123500.0,2330.0,2,53.0
13,Apartament 2 camere metrou Mihai Bravu,"Strada Esarfei, Vitan, Sectorul 3, Bucuresti",111427.0,1921.0,2,58.0
14,Apartament 3 camere Smart Home Theodor Pallady,"Drumul Gura Crivatului, Theodor Pallady, Sectorul 3, Bucuresti",113239.0,1205.0,3,94.0
15,Apartament 3 camere Auchan Titan,"Strada Bratarii, Titan, Sectorul 3, Bucuresti",95000.0,848.0,3,112.0
16,Theodor Pallady Garsoniera decomandata la 8 min de metrou,"Drumul Gura Crivatului, Theodor Pallady, Sectorul 3, Bucuresti",46191.0,1320.0,1,35.0
17,Apartament 4 camere Top Premium,"Strada Victor Brauner, Theodor Pallady, Sectorul 3, Bucuresti",162935.0,1393.0,4,117.0
18,Garsoniera Auchan Titan,"Strada Bratarii, Titan, Sectorul 3, Bucuresti",47000.0,1000.0,1,47.0
19,Apartament 2 camere premium avans 5% acte gata de mutare,"Drumul Gura Calitei, Theodor Pallady, Sectorul 3, Bucuresti",71400.0,1235.0,2,57.8
20,Apartament 3 camere Finalizare Imediata la 12 min de metrou,"Drumul Gura Crivatului, Theodor Pallady, Sectorul 3, Bucuresti",88572.0,1181.0,3,75.0
21,Apartament 2 camere metrou Nicolae Teclu,"Drumul Gura Crivatului, Theodor Pallady, Sectorul 3, Bucuresti",61828.0,1145.0,2,54.0
22,Pallady 3 camere cu geam la baie la 10 min de metrou Nicolae Teclu,"Drumul Gura Crivatului, Theodor Pallady, Sectorul 3, Bucuresti",81485.0,1148.0,3,71.0
23,"Apartament 2 camere cu mutare imediata, Moara de vant.","Moara de Vant, Iasi, Iasi",121500.0,2292.0,2,53.0
24,"Apartament 4 camere et. 1/4, cu garaj si boxa","Aleea Parva, Drumul Taberei, Sectorul 6, Bucuresti",132000.0,1714.0,4,77.0
25,"Apartament 2 camere, mobilat, intabulat, mutare imediata, Moara de van","Moara de Vant, Iasi, Iasi",125500.0,2282.0,2,55.0
26,"Apartament 2 camere de vanzare, parcare inclusa, zona Frunzisului","Manastur, Cluj-Napoca, Cluj",169000.0,3130.0,2,54.0
27,"Apartament nou, decomandat, mobilat, 2 camere, mutare imediata, Moara","Moara de Vant, Iasi, Iasi",129200.0,2393.0,2,54.0
28,Apartament 2 camere,"Cismigiu, Sectorul 1, Bucuresti",72000.0,1309.0,2,55.0
29,"Apartament decomandat, mobilat, 2 camere, Moara de vant.","Moara de Vant, Iasi, Iasi",129700.0,2358.0,2,55.0
30,Apartament 2 camere - Berceni - Dimitrie Leonida,"Bulevardul Metalurgiei, Aparatorii Patriei, Sectorul 4, Bucuresti",79900.0,1595.0,2,50.1
31,Garsoniera de vanzare Turnu Magurele- Luica,"Strada Odei, Progresul, Sectorul 4, Bucuresti",52500.0,1344.0,1,39.05
32,"Apartament de 2 camere in Bucuresti, mall Afi Cotroceni, sector 6","Militari, Sectorul 6, Bucuresti",80000.0,1509.0,2,53.0
33,Vand garsoniera pe strada Bucegi langa BIG,"Marasti, Cluj-Napoca, Cluj",73500.0,2450.0,1,30.0
34,"Ap. 3 camere, Direct Dezvoltator - Comision 0%, Finalizat, TVA inclus","Militari, Sectorul 6, Bucuresti",111720.0,1400.0,3,79.8
35,"3 camere mobilate - Metropolitan Residence - Aparatorii Patriei, bloc","Strada Macesului, Aparatorii Patriei, Sectorul 4, Bucuresti",119000.0,1632.0,3,72.9
36,Garsoniera Titan Policlinica -Nicolae Grigorescu,"Titan, Sectorul 3, Bucuresti",34000.0,1097.0,1,31.0
37,Garsoniera Militari Virtutii Orsova an constructie 1992,"Militari, Sectorul 6, Bucuresti",54500.0,1363.0,1,40.0
38,Apartament 3 camere Militari Iuliu Maniu zona Pacii bloc 2022,"Militari, Sectorul 6, Bucuresti",134000.0,1540.0,3,87.0
39,"Apartament 3 camere, spatios, cu terasa si curte, Moara de vant.","Moara de Vant, Iasi, Iasi",240000.0,3243.0,3,74.0
40,"Apartament 2 camere, Nicolae Grigorescu, salajan, strada Marului","Salajan, Sectorul 3, Bucuresti",101000.0,2061.0,2,49.0
41,Apartament 2 camere 71mp utili - Prelungire Ghencea (Cartierul Latin),"Strada Prelungirea Ghencea, Bragadiru, Ilfov",73500.0,1035.0,2,71.0
42,Apartament spre vânzare,"Moara de Vant, Iasi, Iasi",105000.0,2019.0,2,52.0
43,Apărătorii patriei Emil Racoviță,"Berceni, Sectorul 4, Bucuresti",45000.0,1216.0,2,37.0
44,Vând apartament 2camere,"Rahova, Sectorul 5, Bucuresti",68000.0,1308.0,2,52.0
45,"Garsoniera dubla, 40 mp, Militari Residence,","Rosu, Chiajna, Ilfov",45000.0,1154.0,1,39.0
46,Apartament direct de la propietar an 1980,"Calea Sagului, Timisoara, Timis",74000.0,1233.0,2,60.0
47,Vand apartament 2 camere Pipera Perla Residence + parcare subterana,"Strada George Bacovia, Voluntari, Ilfov",140000.0,2135.0,2,65.57
48,"Persoana fizica , vând apartament 2 camere la vila","Tatarasi Nord, Iasi, Iasi",55000.0,1170.0,2,47.0
49,"Ap. 2 camere, Direct Dezvoltator - Comision 0%, Finalizat, TVA inclus","Militari, Sectorul 6, Bucuresti",85960.0,1400.0,2,61.4
50,"2 camere , Lujerului, etaj 3, decomandat, Aleea Cetatuia","Militari, Sectorul 6, Bucuresti",55000.0,1341.0,2,41.0
51,Apartament 3 camere- decomandat- etaj 1-Andrei Saguna- Dorobantilor,"Cetate, Timisoara, Timis",105000.0,1479.0,3,71.0
52,"Apartament cu 2 camere + terasa 78 mp,Floresti, zona Parc Poligon","Strada Poligonului, Floresti, Floresti, Cluj",88740.0,1613.0,2,55.0
53,Apartament cu 2 camere în Grand Park Residence etaj intermediar,"Marasti, Cluj-Napoca, Cluj",170000.0,3036.0,2,56.0
54,"Dumbravita- Apartament 3 camere, decomandat, pozitionare excelenta, lo","Dumbravita, Dumbravita, Timis",102500.0,1653.0,3,62.0
55,Apartament de vanzare ULTRACENTRAL (Km 0) Cluj-Napoca,"Centru, Cluj-Napoca, Cluj",299000.0,3691.0,2,81.0
56,Apartament 2 camere Liberty Residence 72 mp finisat,"Centru, Cluj-Napoca, Cluj",169000.0,2557.0,2,66.1
57,"Berceni,1min metrou,semistradal,liniste,et P/4,an 1984!","Strada Sergent Ion Iriceanu, Aparatorii Patriei, Sectorul 4, Bucuresti",68000.0,1259.0,2,54.0
58,Apartament 2 camere 37000,"Rahova, Sectorul 5, Bucuresti",37000.0,974.0,2,38.0
59,2 camere dec etaj 3 Cetatii CENTRALA 65000EURO,"Bulevardul Cetatii, Mircea Cel Batran, Timisoara, Timis",65000.0,1625.0,2,40.0
60,Apartament 2 camere,"Militari, Sectorul 6, Bucuresti",70000.0,1273.0,2,55.0
61,"Apartament Finisat modern LUX, 2 camere decomandate, zona Profi...","Strada Petuniei, Grigorescu, Cluj-Napoca, Cluj",138000.0,2760.0,2,50.0
62,Apartament 3 camere | 64 mp | Etaj 3/4 | Manastur | Zona Brates!,"Manastur, Cluj-Napoca, Cluj",150000.0,2344.0,3,64.0
63,Vanzare Apartament 2 Camere Decomandat Partial Mobilat Strada Carol Da,"Manastur, Cluj-Napoca, Cluj",99000.0,2063.0,2,48.0
64,"Apartament 2 camere, etaj intermediar, modern, lift, parcare...","Strada Florilor, Floresti, Floresti, Cluj",70000.0,1628.0,2,43.0
65,"Apartament 1 camera , finisat LUX, 39 mp, in zona Oasului","Strada Iasomiei, Iris, Cluj-Napoca, Cluj",93000.0,2385.0,1,39.0
66,"Apartament premium de 2 camere, 47 mp, imobil nou, zona Porii","Strada Porii, Floresti, Floresti, Cluj",75600.0,1609.0,2,47.0
67,"65A -3 cam 100 mp, 2 terase 2 fatade Metrou Straulesti Bucurestii Noi","Soseaua Bucuresti-Targoviste, Straulesti, Sectorul 1, Bucuresti",118400.0,1467.0,3,80.7
68,Rezervelor60 Apartament 3 camere View Reisdence Direct Dezvoltator,"Militari, Sectorul 6, Bucuresti",64400.0,933.0,3,69.0
69,Studio premium | CORTINA NORTH | Faza II,"Bulevardul Pipera, Voluntari, Ilfov",73245.0,1860.0,1,39.37
70,"Apartament cu 3 camere, 93.40 mp","Strada Diminetii, Frumoasa, Iasi, Iasi",110366.0,1390.0,3,79.4
71,31B Ap 3 camere Metrou Straulesti - Sisesti -Baneasa 2 Balcoane,"Soseaua Bucuresti-Targoviste, Straulesti, Sectorul 1, Bucuresti",116700.0,1411.0,3,82.7
72,Apartamente 2 Camere Direct Dezvolator Militari Langa Aqua Garden,"Militari, Sectorul 6, Bucuresti",52500.0,1012.0,2,51.87
73,"Apartament 3 camere decomandat, 2 bai, Rezervelor 60 Militari Pacii","Militari, Sectorul 6, Bucuresti",67750.0,1005.0,3,67.38
74,Central Address Residence - 3 camere,"Rahova, Sectorul 5, Bucuresti",101065.0,1450.0,3,69.7
75,Pipera - Aviatiei - iResidence - ansamblu SMART,"Soseaua Bucuresti Nord, Voluntari, Ilfov",140500.0,1926.0,2,72.95
76,Militari Residence - GARSONIERA,"Chiajna, Chiajna, Ilfov",33250.0,950.0,1,35.0
77,Apartament 2 camere Darwin Residence - de vanzare,"Tunari, Tunari, Ilfov",83700.0,1550.0,2,54.0
78,"Garsoniera Militari Lujerului, Virtutii","Soseaua Virtutii, Militari, Sectorul 6, Bucuresti",62000.0,1550.0,1,40.0
79,Apartament 3 camere decomandat-CUG,"CUG, Iasi, Iasi",91549.3,1408.45,3,65.0
80,"1.362 €/mp Apartament 2 camere de vanzare, parcare, Floresti, zona","Floresti, Floresti, Cluj",79000.0,1362.0,2,58.0
81,"Obor / 4 min Metrou / decomandat / 2 BALCOANE, bloc STRADAL reabilitat","Tei, Sectorul 2, Bucuresti",84500.0,1207.0,3,70.0
82,Metrou Berceni Apartament 2 camere Promotie,"IMGB, Sectorul 4, Bucuresti",49900.0,960.0,2,52.0
83,Garsoniera 37 mpu Langa Metrou Berceni Ideal Investitie,"IMGB, Sectorul 4, Bucuresti",39900.0,1078.0,1,37.0
84,Apartament 2 Camere Langa Metrou M2 Berceni Finalizat Mutare Rapida,"IMGB, Sectorul 4, Bucuresti",60850.0,1106.0,2,55.0
85,Apartament 2 camere 50 mpu Langa Metrou M2 Berceni Finalizat,"IMGB, Sectorul 4, Bucuresti",55300.0,1106.0,2,50.0
86,Bloc Nou Garsoniera 37 mpu langa metrou M2 Berceni Ideal Investitie,"IMGB, Sectorul 4, Bucuresti",39900.0,1078.0,1,37.0
87,"Pantelimon / Delfinului / Al Dobrina / et 1, decomandat, bl 1980","Pantelimon, Sectorul 2, Bucuresti",72500.0,1318.0,2,55.0
88,Pers.fizica vand Ap.2cam. 80000euro.Exclus agentii.,"Floresti, Floresti, Cluj",80000.0,1600.0,2,50.0
89,Apartament 3 camere + Loc parcare - Metalurgiei Park - Venus Residence,"Aparatorii Patriei, Sectorul 4, Bucuresti",120000.0,1538.0,3,78.0
90,"Garsoniera Militari, piata Gorjului","Militari, Sectorul 6, Bucuresti",48900.0,1223.0,1,40.0
91,Apartament cu 3 camere la etajul 2 finisat si mobilat lux - Dristor,"Dristor, Sectorul 3, Bucuresti",147000.0,1934.0,3,76.0
92,RENOVAT ACUM! Mosilor / aproape de Carol / bl 1982 / etaj 1 la cheie,"Calea Mosilor, Mosilor, Sectorul 2, Bucuresti",91900.0,1641.0,2,56.0
93,"Piata Iancului / Avrig / decomandat / 4 min Metrou / DECOMANDAT, 2xhol","Vatra Luminoasa, Sectorul 2, Bucuresti",82900.0,1429.0,2,58.0
94,Apartament 3 camere/ NOU/ Floresti central/ 2 bai/ etaj 2,"Manastur, Cluj-Napoca, Cluj",107500.0,1629.0,3,66.0
95,Studio 57 MP Metalurgiei Mutare Imediata,"Drumul Binelui, IMGB, Sectorul 4, Bucuresti",55720.0,978.0,2,57.0
96,Apartament 2 Camere Cu Gradina 40MP Giurgiului Mutare Imediata,"Strada Pogoanele, IMGB, Sectorul 4, Bucuresti",70120.0,771.0,2,91.0
97,Garsoniera Finisaje Premium Zona Luica Brancoveanu,"Strada Luica, Berceni, Sectorul 4, Bucuresti",49500.0,1269.0,1,39.0
98,Apartament 3 Camere Finisaje Premium Brancoveanu Acte Gata,"Strada Luica, Berceni, Sectorul 4, Bucuresti",87500.0,1182.0,3,74.0
99,Apartament 2 Camere Finisaje Premium Brancoveanu Finalizat,"Strada Luica, Berceni, Sectorul 4, Bucuresti",66000.0,1179.0,2,56.0
100,Garsoniera cu Gradina 31 MP Metalurgiei Bucatarie Inchisa,"Strada Aurel Persu, IMGB, Sectorul 4, Bucuresti",46100.0,698.0,1,66.0
101,Garsoniera Grand Arena 35 MP Mutare Imediata,"Strada Aurel Persu, IMGB, Sectorul 4, Bucuresti",38600.0,1103.0,1,35.0
102,Piata Iancului / Avrig / et 1 / bl 1980 STRADAL / 4-5 min Metrou /,"Vatra Luminoasa, Sectorul 2, Bucuresti",54700.0,1658.0,1,33.0
103,Berceni 2 camere la doar 10 min metrou M2 Aparatorii Patriei,"Aparatorii Patriei, Sectorul 4, Bucuresti",42900.0,998.0,2,43.0
104,Berceni 2 camere la doar 10 min metrou M2 Aparatorii Patriei Promotie,"Aparatorii Patriei, Sectorul 4, Bucuresti",42900.0,998.0,2,43.0
105,Apartament 2 camere 10 min metrou Aparatorii Patriei Mutare Rapida,"IMGB, Sectorul 4, Bucuresti",42900.0,998.0,2,43.0
106,Berceni Garsoniera Drumul Jilavei 37 mpu 10 min metrou M2,"Drumul Jilavei, IMGB, Sectorul 4, Bucuresti",36900.0,1054.0,1,35.0
107,Apartament 2 camere Langa Metrou Berceni Super Oferta,"IMGB, Sectorul 4, Bucuresti",49900.0,960.0,2,52.0
108,Metrou Berceni 2 camere 53 mpu decomandat,"Popesti Leordeni, Ilfov",49900.0,942.0,2,53.0
109,Iancului / Avrig / Elev Stefanescu / bl 1980 / SE ACCEPTA CREDIT!,"Iancului, Sectorul 2, Bucuresti",52300.0,1634.0,1,32.0
110,Penthouse 3 cam | Terasa 60 mp & Foisor | Mobilat & Utilat | Parcare,"Trapezului, Sectorul 3, Bucuresti",140000.0,1687.0,3,83.0
111,Stefan cel Mare / Obor / 200 m Metrou / bl 1982 / decomandat /,"Obor, Sectorul 2, Bucuresti",87500.0,1509.0,2,58.0
112,"Apartament 3 camere, finisaje lux, gradina, Andrei Muresanu","Strada Plaiuri, Andrei Muresanu, Cluj-Napoca, Cluj",390000.0,5000.0,3,78.0
113,"Apartament 3 camere, 2 bai, 74mp, zona Fagului","Strada Eroilor, Floresti, Floresti, Cluj",115000.0,1554.0,3,74.0
114,Iancului / Ritmului / Pantelimon bloc mixt 1980 reabilitat DECOMANDAT,"Pantelimon, Sectorul 2, Bucuresti",64400.0,1789.0,1,36.0
115,"Apartament modern, 2 camere, etaj 1, parcare, zona Eroilor","Strada Porii, Floresti, Floresti, Cluj",82000.0,1929.0,2,42.5
116,"Ap. 3 camere, Direct Dezvoltator - Comision 0%, Finalizat, TVA inclus","Militari, Sectorul 6, Bucuresti",112140.0,1400.0,3,80.1
